id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_tanaman,satuan,tahun
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,241,KILOGRAM/HEKTAR,2019
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,350,KILOGRAM/HEKTAR,2019
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,821,KILOGRAM/HEKTAR,2019
59,32,JAWA BARAT,3205,KABUPATEN GARUT,996,KILOGRAM/HEKTAR,2019
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,782,KILOGRAM/HEKTAR,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,800,KILOGRAM/HEKTAR,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,KILOGRAM/HEKTAR,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,304,KILOGRAM/HEKTAR,2019
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,633,KILOGRAM/HEKTAR,2019
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2019
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1000,KILOGRAM/HEKTAR,2019
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2019
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2019
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2019
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,620,KILOGRAM/HEKTAR,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KILOGRAM/HEKTAR,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,0,KILOGRAM/HEKTAR,2019
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KILOGRAM/HEKTAR,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,KILOGRAM/HEKTAR,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,0,KILOGRAM/HEKTAR,2019
77,32,JAWA BARAT,3275,KOTA BEKASI,0,KILOGRAM/HEKTAR,2019
78,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM/HEKTAR,2019
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KILOGRAM/HEKTAR,2019
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KILOGRAM/HEKTAR,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,0,KILOGRAM/HEKTAR,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,800,KILOGRAM/HEKTAR,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,305,KILOGRAM/HEKTAR,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,354,KILOGRAM/HEKTAR,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,861,KILOGRAM/HEKTAR,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,598,KILOGRAM/HEKTAR,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,766,KILOGRAM/HEKTAR,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,800,KILOGRAM/HEKTAR,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,KILOGRAM/HEKTAR,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,257,KILOGRAM/HEKTAR,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,710,KILOGRAM/HEKTAR,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,927,KILOGRAM/HEKTAR,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,663,KILOGRAM/HEKTAR,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KILOGRAM/HEKTAR,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,0,KILOGRAM/HEKTAR,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KILOGRAM/HEKTAR,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,KILOGRAM/HEKTAR,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,0,KILOGRAM/HEKTAR,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,0,KILOGRAM/HEKTAR,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM/HEKTAR,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,KILOGRAM/HEKTAR,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KILOGRAM/HEKTAR,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,0,KILOGRAM/HEKTAR,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,745,KILOGRAM/HEKTAR,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,350,KILOGRAM/HEKTAR,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,615,KILOGRAM/HEKTAR,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,879,KILOGRAM/HEKTAR,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,767,KILOGRAM/HEKTAR,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,775,KILOGRAM/HEKTAR,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,798,KILOGRAM/HEKTAR,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,KILOGRAM/HEKTAR,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KILOGRAM/HEKTAR,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,250,KILOGRAM/HEKTAR,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,479,KILOGRAM/HEKTAR,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KILOGRAM/HEKTAR,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,931,KILOGRAM/HEKTAR,2021
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KILOGRAM/HEKTAR,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KILOGRAM/HEKTAR,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KILOGRAM/HEKTAR,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,742,KILOGRAM/HEKTAR,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KILOGRAM/HEKTAR,2021
